   r (kpc/h)    Vrot   N(i)  Vrot(measured)   %error        Vcirc       Vc%error       vphirms/vphirm_th Vr_rms/Vr_rms_th   Vz_rms/Vz_rms_th  
    0.45080   20.39033    1.00000   45.16471   -1.21501   34.06466    0.00000    0.00004    0.00019    0.00007
    0.45360   20.49217    1.00000   54.31598   -1.65057   34.22753    0.00000    0.00020    0.00003    0.00007
    0.45640   20.59401    1.00000   -5.26302    1.25556   34.39004    0.00000    0.00004    0.00003    0.00007
    0.45920   20.69584    1.00000   -3.94834    1.19078   34.55221    0.00000    0.00004    0.00026    0.00016
    0.46200   20.79766    1.00000   -6.14219    1.29533   34.71404    0.00000    0.00004    0.00007    0.00007
    0.46480   20.89944    1.00000  -23.21701    2.11089   34.87550    0.00635    0.00004    0.00012    0.00017
    0.46760   21.00122    1.00000   93.56287   -3.45512   35.03664   -0.00629    0.00042    0.00003    0.00029
    0.47040   21.10297    1.00000   -0.60611    1.02872   35.19742    0.00623    0.00004    0.00007    0.00012
    0.47320   21.20471    1.00000   64.95159   -2.06307   35.35788    0.00000    0.00025    0.00012    0.00007
    0.47600   21.30640    1.00000   27.49912   -0.29065   35.51799    0.00000    0.00004    0.00006    0.00063
    0.47880   21.40809    1.00000   22.92150   -0.07069   35.67777    0.00000    0.00004    0.00003    0.00007
    0.48160   21.50973    1.00000   68.30247   -2.17542   35.83720    0.00000    0.00004    0.00006    0.00007
    0.48440   21.61135    1.00000    6.10418    0.71755   35.99632    0.00000    0.00004    0.00004    0.00059
    0.48720   21.71292    1.00000  -41.36488    2.90508   36.15509    0.00000    0.00016    0.00010    0.00014
    0.49000   21.81448    1.00000   95.59032   -3.38197   36.31353    0.00000    0.00004    0.00003    0.00007
    0.49280   21.91598    1.00000   76.20993   -2.47737   36.47165   -0.01161    0.00004    0.00025    0.00007
    0.49560   22.01745    1.00000  -21.37261    1.97071   36.62943    0.00000    0.00004    0.00003    0.00007
    0.49840   22.11889    1.00000  161.57854   -6.30500   36.78689    0.00000    0.00065    0.00003    0.00015
    0.50120   22.22028    1.00000  -55.11115    3.48022   36.94403    0.00000    0.00004    0.00003    0.00007
    0.50400   22.32163    1.00000  -24.68840    2.10603   37.10084    0.00000    0.00010    0.00003    0.00007
    0.50680   22.42294    1.00000   73.47935   -2.27697   37.25733    0.00000    0.00004    0.00003    0.00007
    0.50960   22.52419    1.00000   41.15418   -0.82711   37.41350    0.00000    0.00004    0.00029    0.00033
    0.51240   22.62539    1.00000    0.96746    0.95724   37.56935    0.00000    0.00004    0.00003    0.00007
    0.51520   22.72655    1.00000  -62.66058    3.75715   37.72488    0.00000    0.00025    0.00019    0.00017
    0.51800   22.82767    1.00000  -25.53068    2.11841   37.88011    0.01076    0.00010    0.00003    0.00007
    0.52080   22.92872    1.00000   17.59192    0.23276   38.03500    0.01067    0.00004    0.00003    0.00007
    0.52360   23.02973    1.00000   91.77968   -2.98527   38.18959    0.00000    0.00040    0.00007    0.00007
    0.52640   23.13067    1.00000  -14.39496    1.62233   38.34386    0.00000    0.00007    0.00008    0.00013
    0.52920   23.23157    1.00000   36.64917   -0.57756   38.49783    0.00000    0.00004    0.00008    0.00007
    0.53200   23.33240    1.00000   56.56461   -1.42429   38.65149   -0.01033    0.00030    0.00019    0.00007
    0.53480   23.43318    1.00000   18.37287    0.21595   38.80483    0.01025    0.00009    0.00016    0.00007
    0.53760   23.53389    1.00000   34.58952   -0.46978   38.95787    0.00000    0.00006    0.00003    0.00007
    0.54040   23.63456    1.00000  -28.60649    2.21037   39.11060    0.00000    0.00004    0.00003    0.00007
    0.54320   23.73516    1.00000   14.62810    0.38369   39.26304    0.01001    0.00005    0.00003    0.00007
    0.54600   23.83567    1.00000  127.87914   -4.36503   39.41515    0.00000    0.00047    0.00028    0.00007
    0.54880   23.93615    1.00000  -42.94322    2.79407   39.56698    0.00000    0.00004    0.00014    0.00013
    0.55160   24.03654    1.00000   14.56419    0.39408   39.71849    0.00000    0.00004    0.00003    0.00007
    0.55440   24.13689    1.00000  115.42483   -3.78209   39.86972    0.00000    0.00067    0.00011    0.00014
    0.55720   24.23715    1.00000  -26.82554    2.10679   40.02065    0.00000    0.00004    0.00003    0.00007
    0.56000   24.33736    1.00000   60.98234   -1.50571   40.17127   -0.00957    0.00034    0.00060    0.00007
    0.56280   24.43749    1.00000  -51.72645    3.11668   40.32160    0.00000    0.00034    0.00035    0.00007
    0.56560   24.53756    1.00000  -35.24395    2.43633   40.47163    0.00000    0.00020    0.00003    0.00012
    0.56840   24.63754    1.00000   31.53635   -0.28001   40.62137    0.00000    0.00004    0.00003    0.00007
    0.57120   24.73746    1.00000   25.50309   -0.03095   40.77082    0.00000    0.00008    0.00003    0.00007
    0.57400   24.83731    1.00000   18.60688    0.25085   40.91998    0.00000    0.00009    0.00003    0.00011
    0.57680   24.93708    1.00000   -2.74005    1.10988   41.06884    0.00000    0.00004    0.00003    0.00007
    0.57960   25.03679    1.00000    9.24371    0.63079   41.21742    0.00000    0.00004    0.00003    0.00007
    0.58240   25.13641    1.00000   74.98569   -1.98315   41.36570    0.00000    0.00019    0.00003    0.00009
    0.58520   25.23596    1.00000   35.04341   -0.38863   41.51371   -0.00896    0.00004    0.00003    0.00007
    0.58800   25.33543    1.00000  -37.03535    2.46180   41.66142    0.00000    0.00004    0.00003    0.00007
    0.59080   25.43483    1.00000  -59.40199    3.33546   41.80885   -0.00883    0.00004    0.00026    0.00007
    0.59360   25.53414    1.00000   -0.81409    1.03188   41.95599    0.00000    0.00004    0.00003    0.00007
    0.59640   25.63337    1.00000   34.61864   -0.35053   42.10285    0.00000    0.00004    0.00037    0.00007
    0.59920   25.73253    1.00000   26.21042   -0.01857   42.24944    0.00000    0.00004    0.00003    0.00008
    0.60200   25.83162    1.00000  -11.73627    1.45434   42.39574    0.00859    0.00004    0.00011    0.00007
    0.60480   25.93062    1.00000   67.44865   -1.60112   42.54176    0.00000    0.00004    0.00003    0.00007
    0.60760   26.02952    1.00000   74.59564   -1.86581   42.68749    0.00000    0.00015    0.00003    0.00007
    0.61040   26.12836    1.00000   37.39545   -0.43122   42.83295    0.00000    0.00009    0.00003    0.00008
    0.61320   26.22711    1.00000  -35.28586    2.34540   42.97814    0.00000    0.00004    0.00003    0.00007
    0.61600   26.32578    1.00000   50.33865   -0.91214   43.12305    0.00000    0.00004    0.00020    0.00007
    0.61880   26.42436    1.00000  -62.66717    3.37157   43.26769   -0.00825    0.00026    0.00018    0.00028
    0.62160   26.52287    1.00000   22.90328    0.13647   43.41205    0.00000    0.00007    0.00003    0.00007
    0.62440   26.62128    1.00000  -83.30460    4.12925   43.55614    0.00000    0.00004    0.00003    0.00007
    0.62720   26.71961    1.00000   47.38728   -0.77350   43.69996    0.00808    0.00004    0.00007    0.00007
    0.63000   26.81784    1.00000  -26.72912    1.99669   43.84350    0.00000    0.00013    0.00008    0.00014
    0.63280   26.91601    1.00000  153.29379   -4.69526   43.98678    0.00798    0.00061    0.00003    0.00028
    0.63560   27.01407    1.00000   99.82578   -2.69533   44.12979    0.00793    0.00023    0.00019    0.00007
    0.63840   27.11205    1.00000   25.78900    0.04880   44.27253    0.00000    0.00014    0.00003    0.00056
    0.64120   27.20994    1.00000   14.23092    0.47700   44.41500   -0.00783    0.00004    0.00025    0.00016
    0.64400   27.30775    1.00000   -0.18299    1.00670   44.55721    0.00778    0.00004    0.00003    0.00032
    0.64680   27.40545    1.00000   49.44872   -0.80434   44.69914    0.00000    0.00013    0.00042    0.00007
    0.64960   27.50309    1.00000   43.78723   -0.59208   44.84082    0.00000    0.00004    0.00003    0.00007
    0.65240   27.60062    1.00000  -40.51257    2.46781   44.98224    0.00000    0.00004    0.00003    0.00007
    0.65520   27.69806    1.00000  103.28595   -2.72900   45.12339    0.00758    0.00004    0.00003    0.00007
    0.65800   27.79542    1.00000  149.22353   -4.36864   45.26428    0.00753    0.00004    0.00013    0.00032
    0.66080   27.89268    1.00000   49.55856   -0.77676   45.40491    0.00000    0.00004    0.00003    0.00007
    0.66360   27.98986    1.00000    1.06945    0.96179   45.54528    0.00000    0.00004    0.00010    0.00007
    0.66640   28.08693    1.00000   75.52574   -1.68900   45.68539   -0.00740    0.00046    0.00017    0.00007
    0.66920   28.18392    1.00000   -7.63429    1.27087   45.82524    0.00000    0.00004    0.00003    0.00007
    0.67200   28.28082    1.00000  -71.48540    3.52770   45.96484    0.00000    0.00004    0.00028    0.00007
    0.67480   28.37762    1.00000  -21.31702    1.75119   46.10418    0.00000    0.00004    0.00003    0.00046
    0.67760   28.47433    1.00000  -17.30103    1.60760   46.24326   -0.00722    0.00007    0.00003    0.00007
    0.68040   28.57094    1.00000   49.85235   -0.74486   46.38208    0.00000    0.00005    0.00003    0.00007
    0.68320   28.66745    1.00000  -84.72997    3.95562   46.52065    0.00713    0.00024    0.00003    0.00007
    0.68600   28.76389    1.00000   47.99194   -0.66848   46.65898   -0.00709    0.00016    0.00003    0.00007
    0.68880   28.86022    1.00000   40.85760   -0.41571   46.79705    0.00000    0.00008    0.00007    0.00007
    0.69160   28.95647    1.00000   31.26658   -0.07978   46.93487    0.00000    0.00010    0.00011    0.00007
    0.69440   29.05261    1.00000   34.35059   -0.18236   47.07244    0.00000    0.00004    0.00003    0.00007
    0.69720   29.14864    1.00000   36.19012   -0.24157   47.20974    0.00693    0.00004    0.00003    0.00007
    0.70000   29.24459    1.00000  -19.53963    1.66814   47.34681    0.00000    0.00004    0.00003    0.00007
    0.70280   29.34046    1.00000  -90.93371    4.09926   47.48363    0.00000    0.00007    0.00003    0.00007
    0.70560   29.43621    1.00000   56.04920   -0.90409   47.62021    0.00000    0.00004    0.00003    0.00007
    0.70840   29.53188    1.00000  -69.64224    3.35821   47.75654    0.00000    0.00028    0.00003    0.00034
    0.71120   29.62745    1.00000   52.61353   -0.77584   47.89262    0.00000    0.00025    0.00016    0.00007
    0.71400   29.72291    1.00000   -7.86217    1.26452   48.02845   -0.00669    0.00004    0.00003    0.00033
    0.71680   29.81830    1.00000    7.38510    0.75233   48.16405    0.00000    0.00004    0.00003    0.00007
    0.71960   29.91356    1.00000  115.93594   -2.87570   48.29939    0.00000    0.00004    0.00009    0.00007
    0.72240   30.00874    1.00000   44.85682   -0.49479   48.43450   -0.00658    0.00016    0.00019    0.00007
    0.72520   30.10381    1.00000   68.24590   -1.26702   48.56936    0.00000    0.00039    0.00003    0.00007
    0.72800   30.19880    1.00000   36.63035   -0.21297   48.70398    0.00000    0.00004    0.00059    0.00034
    0.73080   30.29368    1.00000   15.49198    0.48861   48.83836    0.00000    0.00004    0.00013    0.00007
    0.73360   30.38846    1.00000   26.64339    0.12324   48.97250    0.00644    0.00004    0.00003    0.00014
    0.73640   30.48315    1.00000   23.16651    0.24002   49.10640   -0.00640    0.00004    0.00003    0.00007
    0.73920   30.57774    1.00000   40.11315   -0.31184   49.24006    0.00637    0.00017    0.00003    0.00046
